"MatchId","Matchday","Date","HomeTeam","AwayTeam","difficulty"
276,28,2021-03-13,Man Utd,West Ham,1
277,28,2021-03-13,Newcastle,Aston Villa,0
278,28,2021-03-13,Southampton,Brighton,0
279,28,2021-03-13,Wolves,Liverpool,-1
280,29,2021-03-20,Brighton,Newcastle,0
281,29,2021-03-20,Burnley,Leicester,-1
282,29,2021-03-20,Crystal Palace,Man Utd,-1
283,29,2021-03-20,Fulham,Leeds,-1
284,29,2021-03-20,Liverpool,Chelsea,1
285,29,2021-03-20,Man City,Wolves,1
286,29,2021-03-20,Sheffield Utd,Aston Villa,0
287,29,2021-03-20,Spurs,Southampton,1
288,29,2021-03-20,West Brom,Everton,-2
289,29,2021-03-20,West Ham,Arsenal,-1
290,30,2021-04-03,Arsenal,Liverpool,-1
291,30,2021-04-03,Aston Villa,Fulham,1
292,30,2021-04-03,Chelsea,West Brom,2
293,30,2021-04-03,Everton,Crystal Palace,1
294,30,2021-04-03,Leeds,Sheffield Utd,0
295,30,2021-04-03,Leicester,Man City,-1
296,30,2021-04-03,Man Utd,Brighton,1
297,30,2021-04-03,Newcastle,Spurs,-1
298,30,2021-04-03,Southampton,Burnley,0
299,30,2021-04-03,Wolves,West Ham,1
300,31,2021-04-10,Brighton,Everton,-1
301,31,2021-04-10,Burnley,Newcastle,0
302,31,2021-04-10,Crystal Palace,Chelsea,-1
303,31,2021-04-10,Fulham,Wolves,-2
304,31,2021-04-10,Liverpool,Aston Villa,2
305,31,2021-04-10,Man City,Leeds,2
306,31,2021-04-10,Sheffield Utd,Arsenal,-1
307,31,2021-04-10,Spurs,Man Utd,0
308,31,2021-04-10,West Brom,Southampton,-1
309,31,2021-04-10,West Ham,Leicester,-1
310,32,2021-04-17,Arsenal,Fulham,2
311,32,2021-04-17,Aston Villa,Man City,-2
312,32,2021-04-17,Chelsea,Brighton,1
313,32,2021-04-17,Everton,Spurs,0
314,32,2021-04-17,Leeds,Liverpool,-2
315,32,2021-04-17,Leicester,West Brom,2
316,32,2021-04-17,Man Utd,Burnley,1
317,32,2021-04-17,Newcastle,West Ham,0
318,32,2021-04-17,Southampton,Crystal Palace,0
319,32,2021-04-17,Wolves,Sheffield Utd,1
320,33,2021-04-24,Arsenal,Everton,0
321,33,2021-04-24,Aston Villa,West Brom,1
322,33,2021-04-24,Fulham,Spurs,-2
323,33,2021-04-24,Leeds,Man Utd,-1
324,33,2021-04-24,Leicester,Crystal Palace,1
325,33,2021-04-24,Liverpool,Newcastle,2
326,33,2021-04-24,Man City,Southampton,2
327,33,2021-04-24,Sheffield Utd,Brighton,0
328,33,2021-04-24,West Ham,Chelsea,-1
329,33,2021-04-24,Wolves,Burnley,1
330,34,2021-05-01,Brighton,Leeds,0
331,34,2021-05-01,Burnley,West Ham,0
332,34,2021-05-01,Chelsea,Fulham,2
333,34,2021-05-01,Crystal Palace,Man City,-2
334,34,2021-05-01,Everton,Aston Villa,1
335,34,2021-05-01,Man Utd,Liverpool,-1
336,34,2021-05-01,Newcastle,Arsenal,-1
337,34,2021-05-01,Southampton,Leicester,-1
338,34,2021-05-01,Spurs,Sheffield Utd,1
339,34,2021-05-01,West Brom,Wolves,-2
340,35,2021-05-08,Arsenal,West Brom,2
341,35,2021-05-08,Aston Villa,Man Utd,-1
342,35,2021-05-08,Fulham,Burnley,-1
343,35,2021-05-08,Leeds,Spurs,-1
344,35,2021-05-08,Leicester,Newcastle,1
345,35,2021-05-08,Liverpool,Southampton,2
346,35,2021-05-08,Man City,Chelsea,1
347,35,2021-05-08,Sheffield Utd,Crystal Palace,0
348,35,2021-05-08,West Ham,Everton,-1
349,35,2021-05-08,Wolves,Brighton,1
350,36,2021-05-11,Brighton,West Ham,0
351,36,2021-05-11,Burnley,Leeds,0
352,36,2021-05-11,Everton,Sheffield Utd,1
353,36,2021-05-11,Man Utd,Leicester,0
354,36,2021-05-11,West Brom,Liverpool,-3
355,36,2021-05-12,Chelsea,Arsenal,0
356,36,2021-05-12,Newcastle,Man City,-2
357,36,2021-05-12,Southampton,Fulham,1
358,36,2021-05-12,Spurs,Wolves,0
359,36,2021-05-12,Crystal Palace,Aston Villa,0
360,37,2021-05-15,Brighton,Man City,-2
361,37,2021-05-15,Burnley,Liverpool,-2
362,37,2021-05-15,Chelsea,Leicester,0
363,37,2021-05-15,Crystal Palace,Arsenal,-1
364,37,2021-05-15,Everton,Wolves,0
365,37,2021-05-15,Man Utd,Fulham,2
366,37,2021-05-15,Newcastle,Sheffield Utd,0
367,37,2021-05-15,Southampton,Leeds,0
368,37,2021-05-15,Spurs,Aston Villa,1
369,37,2021-05-15,West Brom,West Ham,-1
370,38,2021-05-23,Arsenal,Brighton,1
371,38,2021-05-23,Aston Villa,Chelsea,-1
372,38,2021-05-23,Fulham,Newcastle,-1
373,38,2021-05-23,Leeds,West Brom,1
374,38,2021-05-23,Leicester,Spurs,0
375,38,2021-05-23,Liverpool,Crystal Palace,2
376,38,2021-05-23,Man City,Everton,1
377,38,2021-05-23,Sheffield Utd,Burnley,0
378,38,2021-05-23,West Ham,Southampton,0
379,38,2021-05-23,Wolves,Man Utd,0
